,f1,f2,method,C,break_ties,probability,PZT_top1,DEA_top1,IPMC_top1,SMA_top1,SFA_top1,SCP_top1,EAP_top1,total_top1,PZT_top3,DEA_top3,IPMC_top3,SMA_top3,SFA_top3,SCP_top3,EAP_top3,total_top3
50,Strain (%),Power Density (W/g),decision_function,100,True,True,0.7272727272727273,0.4166666666666667,0.42857142857142855,0.6666666666666666,0.14285714285714285,0.5,0.4666666666666667,0.5064935064935064,0.9090909090909091,0.5833333333333334,0.5714285714285714,0.8666666666666667,1.0,1.0,0.8,0.8181818181818182
51,Strain (%),Power Density (W/g),predict_proba,100,True,True,0.7272727272727273,0.16666666666666666,0.0,0.7333333333333333,0.42857142857142855,0.2,0.5333333333333333,0.44155844155844154,0.9090909090909091,0.75,0.2857142857142857,0.8666666666666667,0.5714285714285714,1.0,0.9333333333333333,0.8051948051948052
52,Strain (%),Power Density (W/g),decision_function,10,True,True,0.6363636363636364,0.3333333333333333,0.2857142857142857,0.7333333333333333,0.0,0.8,0.7333333333333333,0.5584415584415584,0.9090909090909091,0.75,0.5714285714285714,0.8666666666666667,0.8571428571428571,0.9,0.9333333333333333,0.8441558441558441
53,Strain (%),Power Density (W/g),predict_proba,10,True,True,0.6363636363636364,0.4166666666666667,0.0,0.8,0.14285714285714285,0.3,0.7333333333333333,0.5064935064935064,0.9090909090909091,0.75,0.2857142857142857,0.8666666666666667,0.8571428571428571,0.8,0.9333333333333333,0.8051948051948052
54,Strain (%),Power Density (W/g),decision_function,1,True,True,0.7272727272727273,0.4166666666666667,0.0,0.6666666666666666,0.0,0.7,0.7333333333333333,0.5324675324675324,0.9090909090909091,0.75,0.5714285714285714,0.8,0.8571428571428571,0.8,1.0,0.8311688311688312
55,Strain (%),Power Density (W/g),predict_proba,1,True,True,0.7272727272727273,0.4166666666666667,0.0,0.7333333333333333,0.0,0.6,0.5333333333333333,0.4935064935064935,0.8181818181818182,0.8333333333333334,0.2857142857142857,0.8,0.8571428571428571,0.8,1.0,0.8051948051948052
56,Stress (MPa),Efficiency (%),decision_function,1000,True,True,0.8947368421052632,0.7857142857142857,0.5714285714285714,1.0,0.5,0.0,0.4166666666666667,0.7534246575342466,0.9473684210526315,0.9285714285714286,1.0,1.0,0.5,0.0,0.9166666666666666,0.9178082191780822
57,Stress (MPa),Efficiency (%),predict_proba,1000,True,True,0.9473684210526315,0.5714285714285714,0.5714285714285714,1.0,0.0,0.0,0.0,0.6301369863013698,0.9473684210526315,1.0,1.0,1.0,0.25,0.0,0.9166666666666666,0.9178082191780822
58,Stress (MPa),Efficiency (%),decision_function,100,True,True,0.8947368421052632,0.8571428571428571,0.42857142857142855,1.0,0.25,0.0,0.3333333333333333,0.726027397260274,0.9473684210526315,0.9285714285714286,1.0,1.0,0.5,0.0,0.9166666666666666,0.9178082191780822
59,Stress (MPa),Efficiency (%),predict_proba,100,True,True,0.9473684210526315,0.9285714285714286,0.5714285714285714,1.0,0.0,0.0,0.08333333333333333,0.7123287671232876,0.9473684210526315,0.9285714285714286,1.0,1.0,0.0,0.0,0.9166666666666666,0.8904109589041096
60,Stress (MPa),Efficiency (%),decision_function,10,True,True,0.7894736842105263,0.8571428571428571,0.42857142857142855,0.9375,0.0,0.0,0.3333333333333333,0.6712328767123288,0.9473684210526315,0.9285714285714286,1.0,1.0,0.5,0.0,0.9166666666666666,0.9178082191780822
61,Stress (MPa),Efficiency (%),predict_proba,10,True,True,0.8421052631578947,0.8571428571428571,0.5714285714285714,1.0,0.0,0.0,0.08333333333333333,0.6712328767123288,0.9473684210526315,0.9285714285714286,1.0,1.0,0.0,0.0,0.9166666666666666,0.8904109589041096
62,Stress (MPa),Efficiency (%),decision_function,1,True,True,0.7368421052631579,0.8571428571428571,0.7142857142857143,0.875,0.0,0.0,0.25,0.6575342465753424,0.9473684210526315,0.9285714285714286,1.0,0.875,0.5,0.0,0.9166666666666666,0.8904109589041096
63,Stress (MPa),Efficiency (%),predict_proba,1,True,True,0.8421052631578947,0.8571428571428571,0.7142857142857143,0.875,0.0,0.0,0.25,0.684931506849315,0.9473684210526315,0.9285714285714286,1.0,0.875,0.0,0.0,0.9166666666666666,0.863013698630137
64,Stress (MPa),Power Density (W/g),decision_function,1000,True,True,0.7272727272727273,0.2,0.42857142857142855,0.8333333333333334,0.0,0.0,0.2857142857142857,0.43548387096774194,0.8181818181818182,0.8,0.42857142857142855,0.9166666666666666,0.5,0.5,0.7857142857142857,0.7419354838709677
65,Stress (MPa),Power Density (W/g),predict_proba,1000,True,True,0.2727272727272727,0.3,0.0,0.75,0.0,0.0,0.5714285714285714,0.3709677419354839,0.9090909090909091,0.7,0.14285714285714285,0.8333333333333334,0.16666666666666666,0.0,0.9285714285714286,0.6774193548387096
66,Stress (MPa),Power Density (W/g),decision_function,100,True,True,0.6363636363636364,0.3,0.42857142857142855,0.8333333333333334,0.0,0.0,0.21428571428571427,0.41935483870967744,0.9090909090909091,0.8,0.42857142857142855,0.8333333333333334,0.5,0.5,0.7142857142857143,0.7258064516129032
67,Stress (MPa),Power Density (W/g),predict_proba,100,True,True,0.36363636363636365,0.3,0.0,0.8333333333333334,0.0,0.0,0.42857142857142855,0.3709677419354839,0.9090909090909091,0.8,0.14285714285714285,0.8333333333333334,0.16666666666666666,0.0,0.8571428571428571,0.6774193548387096
68,Stress (MPa),Power Density (W/g),decision_function,10,True,True,0.6363636363636364,0.3,0.14285714285714285,0.8333333333333334,0.0,0.0,0.21428571428571427,0.3870967741935484,0.9090909090909091,0.8,0.5714285714285714,0.8333333333333334,0.3333333333333333,0.5,0.8571428571428571,0.7580645161290323
69,Stress (MPa),Power Density (W/g),predict_proba,10,True,True,0.5454545454545454,0.3,0.0,0.8333333333333334,0.0,0.0,0.35714285714285715,0.3870967741935484,0.9090909090909091,0.7,0.2857142857142857,0.8333333333333334,0.3333333333333333,0.0,1.0,0.7258064516129032
70,Stress (MPa),Power Density (W/g),decision_function,1,True,True,0.6363636363636364,0.5,0.0,0.8333333333333334,0.0,0.0,0.2857142857142857,0.41935483870967744,0.9090909090909091,0.8,0.7142857142857143,0.8333333333333334,0.3333333333333333,0.0,1.0,0.7903225806451613
71,Stress (MPa),Power Density (W/g),predict_proba,1,True,True,0.45454545454545453,0.1,0.0,0.8333333333333334,0.0,0.0,0.42857142857142855,0.3548387096774194,0.9090909090909091,0.7,0.42857142857142855,0.8333333333333334,0.16666666666666666,0.0,0.8571428571428571,0.6935483870967742
72,Efficiency (%),Power Density (W/g),decision_function,1000,True,True,0.4,0.16666666666666666,0.8,0.6875,0.75,0.8,0.4444444444444444,0.5636363636363636,1.0,0.6666666666666666,0.8,1.0,0.75,1.0,1.0,0.9272727272727272
73,Efficiency (%),Power Density (W/g),predict_proba,1000,True,True,0.8,0.0,0.8,0.75,0.25,0.0,0.3333333333333333,0.509090909090909,1.0,0.8333333333333334,0.8,1.0,0.75,0.8,0.7777777777777778,0.8909090909090909
74,Efficiency (%),Power Density (W/g),decision_function,100,True,True,0.0,0.3333333333333333,0.8,0.6875,0.75,0.8,0.3333333333333333,0.4909090909090909,1.0,0.8333333333333334,0.8,1.0,0.75,1.0,0.8888888888888888,0.9272727272727272
75,Efficiency (%),Power Density (W/g),predict_proba,100,True,True,0.8,0.0,0.8,0.75,0.25,0.0,0.0,0.45454545454545453,1.0,0.8333333333333334,0.8,1.0,0.75,0.8,1.0,0.9272727272727272
76,Efficiency (%),Power Density (W/g),decision_function,10,True,True,0.2,0.5,0.8,0.6875,0.75,0.8,0.3333333333333333,0.5454545454545454,1.0,0.8333333333333334,0.8,1.0,0.75,1.0,1.0,0.9454545454545454
77,Efficiency (%),Power Density (W/g),predict_proba,10,True,True,0.6,0.0,0.8,0.6875,0.5,0.0,0.0,0.41818181818181815,1.0,0.5,0.8,1.0,0.75,0.8,1.0,0.8909090909090909
78,Efficiency (%),Power Density (W/g),decision_function,1,True,True,0.5,0.16666666666666666,0.8,0.875,0.25,0.0,0.1111111111111111,0.4727272727272727,0.9,0.8333333333333334,0.8,1.0,0.5,1.0,1.0,0.9090909090909091
79,Efficiency (%),Power Density (W/g),predict_proba,1,True,True,0.3,0.0,0.8,0.75,0.0,0.0,0.1111111111111111,0.36363636363636365,0.9,0.6666666666666666,0.8,1.0,0.25,0.8,0.8888888888888888,0.8363636363636363
